"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1935,0.,708.7,701.7,752.4,806.6,909.1,928.4,925.9,920.8,914.9,908.3,908.4
1936,907.9,908.4,906.9,922.2,982.4,1015.5,1020.4,1024.4,1024.6,1022.6,1023.6,1023.5
1937,1022.2,1026.2,1031.,1044.6,1078.7,1096.6,1102.8,1099.6,1097.6,1096.7,1096.,1095.75
1938,1095.,1094.85,1100.2,1109.2,1134.4,1165.6,1173.5,1171.95,1173.8,1171.45,1168.7,1168.65
1939,1165.4,1157.4,1158.2,1162.9,1176.2,1183.45,1181.3,1177.35,1178.95,1176.1,1173.05,1169.95
1940,1166.9,1166.,1164.65,1164.85,1175.35,1182.15,1179.8,1176.1,1174.45,1173.75,1170.8,1168.05
1941,1167.1,1167.55,1170.35,1175.85,1201.25,1215.55,1220.4,1216.5,1209.85,1211.25,1205.6,1195.8
1942,1184.8,1176.75,1171.25,1182.9,1195.5,1213.15,1213.2,1210.4,1205.,1199.25,1194.05,1188.4
1943,1182.45,1179.6,1177.,1180.6,1188.75,1199.4,1201.55,1199.65,1195.7,1189.9,1184.5,1178.35
1944,1170.9,1164.2,1158.4,1158.1,1173.2,1194.85,1199.55,1193.9,1187.1,1180.6,1174.55,1168.
1945,1161.25,1155.75,1149.6,1147.4,1161.3,1174.55,1180.7,1177.95,1177.95,1173.6,1168.95,1163.35
1946,1157.55,1151.65,1147.45,1148.2,1155.15,1163.95,1163.3,1161.25,1157.65,1153.9,1151.65,1148.55
1947,1142.6,1133.1,1135.38,1134.49,1151.93,1169.64,1177.18,1180.13,1178.02,1177.88,1175.24,1170.58
1948,1164.52,1158.8,1154.51,1158.77,1175.95,1192.15,1190.32,1186.95,1180.82,1175.89,1170.91,1164.85
1949,1158.04,1150.99,1147.17,1148.28,1164.51,1189.07,1196.61,1193.17,1186.86,1181.19,1176.93,1170.06
1950,1163.4,1156.7,1151.75,1152.13,1158.57,1173.95,1177.15,1173.36,1168.77,1164.43,1160.19,1156.62
1951,1151.47,1168.02,1144.07,1141.34,1146.16,1163.53,1168.19,1167.,1163.75,1160.42,1157.25,1153.12
1952,1149.06,1143.,1133.99,1141.96,1171.53,1198.06,1199.88,1195.74,1190.,1183.13,1176.39,1169.1
1953,1162.56,1157.12,1152.42,1148.4,1147.33,1165.11,1165.87,1163.38,1157.67,1152.99,1150.06,1145.78
1954,1141.44,1138.22,1134.08,1130.26,1130.76,1129.88,1126.25,1120.82,1115.39,1112.9,1109.74,1105.4
1955,1100.77,1096.14,1092.85,1089.72,1095.9,1105.91,1103.65,1102.78,1098.5,1095.11,1092.63,1090.99
1956,1089.2,1087.06,1083.57,1083.81,1098.,1116.62,1114.58,1110.66,1105.76,1102.05,1099.14,1097.02
1957,1095.05,1094.32,1092.24,1091.,1109.31,1150.81,1176.08,1182.34,1182.52,1182.5,1181.61,1177.39
1958,1170.95,1168.56,1163.64,1164.61,1185.52,1205.43,1203.39,1198.97,1195.57,1192.45,1189.59,1185.85
1959,1182.31,1182.03,1176.6,1172.83,1172.59,1179.84,1179.27,1175.65,1171.13,1169.35,1168.85,1167.28
1960,1165.09,1163.78,1164.26,1169.94,1175.09,1183.71,1181.32,1175.25,1170.36,1168.47,1167.46,1165.12
1961,1162.67,1160.75,1156.19,1153.56,1154.45,1161.19,1157.62,1154.05,1153.74,1155.15,1155.22,1154.64
1962,1153.56,1156.51,1154.69,1165.75,1185.56,1198.17,1203.98,1200.87,1197.64,1196.65,1195.05,1193.12
1963,1190.98,1189.67,1185.07,1179.06,1172.43,1167.16,1160.27,1153.88,1149.04,1144.99,1141.5,1136.93
1964,1131.74,1128.4,1123.85,1123.41,1119.32,1112.47,1103.84,1098.58,1093.49,1090.12,1089.02,1088.14
1965,1089.83,1090.63,1088.31,1094.57,1110.08,1125.69,1124.33,1124.32,1124.79,1125.9,1127.93,1129.74
1966,1132.24,1133.05,1132.24,1132.15,1133.07,1132.7,1130.32,1128.21,1127.59,1128.42,1129.72,1132.05
1967,1133.42,1133.31,1131.65,1131.72,1131.49,1130.4,1128.81,1128.44,1130.2,1128.67,1127.71,1129.84
1968,1132.07,1132.54,1132.79,1134.15,1135.18,1136.23,1136.76,1136.89,1136.44,1137.46,1139.05,1139.65
1969,1140.46,1140.67,1139.34,1140.79,1141.26,1141.79,1143.32,1145.31,1146.86,1147.22,1149.71,1152.5
1970,1153.65,1153.32,1151.06,1150.8,1150.87,1150.73,1150.53,1151.33,1152.58,1151.77,1151.75,1152.95
1971,1152.87,1150.4,1148.29,1148.63,1149.06,1149.85,1151.22,1152.85,1153.61,1154.4,1156.84,1160.13
1972,1162.27,1160.94,1156.12,1154.74,1154.35,1154.6,1154.84,1156.28,1158.49,1161.59,1163.82,1168.35
1973,1172.75,1174.73,1178.78,1186.14,1185.93,1186.34,1184.89,1182.28,1180.26,1179.47,1178.7,1176.92
1974,1180.14,1178.08,1174.95,1171.35,1169.68,1169.6,1171.87,1173.3,1173.99,1173.83,1175.67,1176.8
1975,1178.74,1178.38,1177.13,1174.18,1173.66,1174.48,1176.97,1178.16,1180.1,1180.41,1179.64,1179.63
1976,1180.93,1182.9,1181.25,1179.68,1180.39,1180.47,1179.85,1177.84,1179.4,1182.16,1185.94,1187.87
1977,1193.01,1191.98,1189.01,1183.1,1179.83,1176.16,1175.34,1177.27,1180.48,1180.36,1179.29,1180.82
1978,1186.09,1187.62,1188.44,1186.14,1184.58,1184.76,1183.31,1183.74,1185.43,1186.69,1188.73,1193.31
1979,1198.83,1202.61,1201.04,1200.01,1197.55,1195.5,1194.86,1195.71,1195.3,1195.12,1196.64,1197.97
1980,1198.99,1204.13,1202.87,1201.94,1199.93,1202.27,1204.65,1204.58,1204.92,1203.21,1203.68,1202.88
1981,1203.58,1204.31,1202.15,1198.44,1196.22,1193.7,1192.88,1192.78,1192.67,1194.11,1195.42,1198.28
1982,1201.15,1202.39,1201.02,1198.3,1196.93,1196.42,1196.48,1197.39,1198.96,1201.06,1204.76,1208.37
1983,1206.83,1210.25,1211.59,1211.26,1212.33,1220.27,1225.44,1222.17,1218.21,1215.32,1213.38,1212.33
1984,1209.82,1207.67,1206.05,1205.91,1209.74,1212.17,1212.92,1211.4,1210.06,1208.63,1208.29,1207.9
1985,1206.95,1206.68,1206.43,1206.16,1209.83,1214.25,1213.95,1212.79,1213.14,1211.16,1208.76,1205.49
1986,1201.59,1202.72,1202.45,1204.78,1208.16,1210.13,1207.14,1207.52,1208.83,1208.7,1209.77,1210.39
1987,1210.23,1210.58,1208.57,1207.67,1205.99,1206.6,1207.8,1209.56,1209.79,1208.69,1210.05,1211.03
1988,1211.17,1211.7,1210.74,1208.36,1206.23,1203.18,1201.43,1199.57,1199.16,1199.15,1199.46,1199.75
1989,1201.4,1202.49,1200.28,1197.35,1192.59,1190.4,1189.72,1189.4,1190.22,1189.55,1189.02,1189.8
1990,1191.,1191.75,1189.56,1186.89,1183.93,1182.06,1179.49,1178.82,1180.02,1178.9,1178.54,1177.89
1991,1179.39,1180.06,1179.31,1177.8,1175.92,1174.67,1173.29,1172.92,1173.01,1171.73,1171.82,1173.44
1992,1177.25,1179.42,1180.31,1179.78,1177.31,1175.07,1173.92,1173.59,1174.44,1174.68,1175.45,1176.86
1993,1183.64,1189.88,1193.46,1193.04,1190.27,1188.27,1187.2,1188.41,1189.15,1188.05,1188.45,1188.75
1994,1190.09,1190.97,1188.51,1184.94,1181.64,1179.42,1178.97,1178.24,1178.4,1177.8,1175.67,1176.55
1995,1180.37,1182.58,1182.27,1179.68,1178.33,1179.03,1180.75,1181.7,1184.28,1186.12,1189.65,1190.92
1996,1193.45,1193.81,1193.81,1192.75,1191.26,1190.43,1190.26,1190.02,1190.84,1191.56,1192.71,1194.38
1997,1195.63,1196.51,1199.1,1200.01,1199.96,1202.32,1203.49,1204.52,1205.81,1209.64,1212.8,1214.64
1998,1214.4,1214.05,1214.26,1212.74,1211.59,1211.83,1212.43,1214.3,1214.78,1215.76,1214.79,1212.53
1999,1212.89,1213.3,1211.75,1208.8,1207.37,1206.4,1207.28,1208.74,1211.29,1212.11,1212.58,1213.94
2000,1214.26,1213.79,1211.33,1208.78,1207.67,1204.09,1199.97,1196.66,1196.72,1196.66,1196.45,1196.12
